Valores,Quantidade,Média de Preços,,Subcategory,Média de Avaliação
"Até R$50,00",747,"R$21,64",,Accessories&Peripherals,"4,510026316"
"Entre R$50,00 e R$500,00",570,"R$139,16",,NetworkingDevices,"4,506875"
"Acima de R$500,00",148,"R$1.178,46",,"HomeTheater,TV&Video","4,512469136"
,,,,HomeAudio,"4,5025"
Média Ponderada,,,,WearableTechnology,"4,502236842"
"4,496127123",,,,Mobiles&Accessories,"4,501987578"
,,,,Accessories,"4,502142857"
,,,,"Headphones,Earbuds&Accessories","4,500606061"
,,,,ExternalDevices&DataStorage,"4,5"
,,,,Microphones,"4,5"
,,,,GeneralPurposeBatteries&BatteryChargers,"4,5"
,,,,OfficePaperProducts,"4,5"
,,,,CraftMaterials,"4,5"
,,,,Cameras&Photography,"4,5"
,,,,OfficeElectronics,"4,5"
,,,,"Printers,Inks&Accessories","4,5"
,,,,#VALUE!,"4,512469136"
,,,,NetworkingDevices|Repeaters&Extenders,"4,5"
,,,,Components,"4,5"
,,,,Electrical,"4,5"
,,,,Arts&Crafts,"4,5"
,,,,PowerAccessories,"4,5"
,,,,Laptops,"4,5"
,,,,Kitchen&HomeAppliances,"4,267175325"
,,,,"Heating,Cooling&AirQuality","4,270258621"
,,,,Kitchen&Dining,"4,5"
,,,,HomeStorage&Organization,"4,30625"
,,,,CarAccessories,"4,49"
,,,,HomeMedicalSupplies&Equipment,"4,49"